Zip Code,State,Population,White,Black,AI,Asian,NHOPI,Other,Mixed,Hispanic
18040,PA,397,98.5,0.0,0.0,1.3,0.0,0.3,0.0,2.3
18040,PA,"15,311",85.1,6.8,0.1,4.1,0.0,1.9,1.9,7.0
18041,PA,"2,951",93.7,2.3,0.1,1.0,0.0,0.9,1.9,3.3
18041,PA,"2,473",97.3,0.9,0.1,0.3,0.2,0.5,0.7,2.4
18042,PA,"26,800",67.2,16.8,0.4,2.4,0.1,8.3,4.9,19.9
18042,PA,440,79.8,10.4,0.2,4.3,0.0,2.3,3.0,6.1
18042,PA,"1,088",90.0,4.1,0.0,3.5,0.0,0.6,1.8,2.6
18042,PA,"1,257",90.6,4.6,0.4,0.7,0.0,1.5,2.1,8.4
18042,PA,"7,896",84.1,6.5,0.2,2.1,0.0,3.0,4.1,10.6
18042,PA,"4,089",92.5,2.9,0.1,3.1,0.0,0.5,0.9,2.2
18045,PA,"2,434",93.8,1.6,0.1,1.2,0.0,1.4,1.8,3.6
18045,PA,"3,762",90.5,4.1,0.2,1.3,0.0,2.4,1.4,6.6
18045,PA,84,47.6,20.2,0.0,19.1,0.0,8.3,4.8,3.6
18045,PA,"20,111",84.8,5.8,0.1,5.5,0.0,1.7,2.1,6.4
18046,PA,64,95.3,0.0,0.0,1.6,0.0,0.0,3.1,0.0
18049,PA,"11,211",93.4,1.6,0.2,1.5,0.0,1.7,1.7,4.7
18049,PA,"6,130",95.5,0.6,0.1,1.9,0.1,0.5,1.2,2.8
18051,PA,"3,327",95.5,0.6,0.0,2.3,0.1,0.5,1.1,3.5
18052,PA,"1,538",90.0,2.4,0.1,2.0,0.0,3.3,2.2,6.9
18052,PA,54,92.6,0.0,0.0,5.6,0.0,0.0,1.9,1.9
18052,PA,"2,391",94.2,1.1,0.0,1.6,0.0,1.7,1.4,3.9
18052,PA,"14,925",75.8,8.6,0.4,5.8,0.0,6.2,3.2,14.6
18052,PA,"3,378",92.5,2.9,0.1,1.3,0.0,1.3,1.9,6.2
18052,PA,"1,105",88.3,3.2,0.5,2.4,0.0,4.4,1.2,9.3
18052,PA,"3,511",91.1,1.6,0.0,3.5,0.0,2.0,1.8,4.8
18053,PA,"2,375",97.6,0.3,0.1,0.5,0.0,0.5,1.0,2.2
18054,PA,508,97.4,2.0,0.4,0.2,0.0,0.0,0.0,1.0
18054,PA,"3,770",97.3,0.8,0.1,0.6,0.0,0.3,0.8,1.1
18055,PA,282,69.9,7.5,0.0,17.4,0.0,2.8,2.5,6.0
18055,PA,"5,898",95.3,1.3,0.1,0.8,0.0,1.0,1.6,4.5
18055,PA,"5,600",95.5,0.8,0.3,1.6,0.0,0.9,0.9,3.6
18056,PA,902,91.8,0.4,0.1,0.7,0.0,4.0,3.0,4.7
18056,PA,41,97.6,0.0,0.0,0.0,0.0,0.0,2.4,0.0
18058,PA,"9,462",92.7,3.4,0.1,0.6,0.1,1.5,1.6,5.3
18059,PA,"1,228",95.2,1.4,0.2,1.3,0.0,0.9,1.1,4.3
18062,PA,"6,661",86.0,2.6,0.1,8.1,0.0,1.4,1.7,4.8
18062,PA,"3,074",92.1,1.8,0.2,1.8,0.0,2.2,2.0,5.2
18062,PA,"1,480",80.0,6.8,0.0,11.0,0.0,0.5,1.7,4.4
18062,PA,"13,136",88.8,3.8,0.1,4.4,0.0,1.6,1.3,4.6
18063,PA,540,97.6,0.4,0.0,0.4,0.0,0.2,1.5,1.3
18064,PA,"1,257",97.4,0.8,0.1,0.8,0.0,0.0,0.9,2.7
18064,PA,"3,307",95.0,1.1,0.1,1.5,0.0,0.9,1.4,3.1
18064,PA,"5,746",96.6,0.8,0.2,0.7,0.0,0.6,1.0,2.8
